OrganisationLabel,OrganisationURI,EffectiveDate,TrafficRegulationOrderType,Location,SideOfRoad,ParkingSpaces,FreeParking,ParkingStartPoint,ParkingEndPoint
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Chorley street, Stretford",south-east,6,FALSE,a point 8 metres northeast of its junction with Ravenswood Road,a point 10 metres southwest of its junction with Adlington Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Chorley street, Stretford",south-east,3,FALSE,a point 9 metres northeast of its junction with Adlington Road,a point 27 metres northeast of its junction with Adlington Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Chorley street, Stretford",south-east,2,FALSE,a point 34 metres northeast and south of its junction with Adlington Road,a point 79 metres southwest and north of its junction with the access road to Trafford House
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Chorley street, Stretford",south-east,14,FALSE,a point 70 metres southwest of its junction with the access road to Trafford House,its junction with the access road to Trafford House
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Chorley street, Stretford",north-west,6,FALSE,a point 22 metres east of its junction with Elton Street,a point 52 metres east of its junction with Elton Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Church road (Service Road Outside Nos.6 To 14), Urmston",north,6,TRUE,a point 2 metres north-east of its junction with Church Road (main carriageway),a point 10 metres north-west of its junction with Church Road (main carriageway)
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Church street, Stretford",west,5,TRUE,from a point 141 metres north of its junction with Chapel Lane,to a point 115 metres north of its junction with Chapel Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Church street, Stretford",east,3,TRUE,from a point 21 metres north of its junction with Chapel Lane,to a point 5 metres north of its junction with Chapel Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Church street, Altrincham",east,10,TRUE,from a point 63 metres north of its junction with Victoria Street,from a point 5 metres north of its junction with Victoria Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Claremont road, Sale",south-east,2,TRUE,from a point 73 metres south of its junction with Ashfield Road,to a point 85 metres south of its junction with Ashfield Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Claremont road, Sale",south-east,3,TRUE,from a point 97 metres south of its junction with Ashfield Road,to its cul-de-sac
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Claremont road, Sale",north-west,2,FALSE,a point 7 metres south-west of its junction with Chapel Road,a point 16 metres south-west of its junction with Chapel Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Claremont road, Sale",north-west,7,FALSE,a point 49 metres southwest of its junction with Chapel Road,a point 5 metres northeast of its junction with Ashfield Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Clarendon avenue, Altrincham",west,2,TRUE,from a point 10 metres north of its junction with Stockport Road,to a point 22 metres north of its junction with Stockport Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Clarendon avenue, Altrincham",east,9,TRUE,from a point 60 metres north of its junction with Stockport Road,to a point 5 metres south of its junction with Clifton Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Colley street, Stretford",east,3,TRUE,from a point 5 metres south of its junction with Railway Road,to its junction with the access road north of No. 32 Colley Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Coppice avenue (lay-by), Sale",north,2,TRUE,from a point 60 metres east of its junction with Manor Avenue,to a point 67 metres east of its junction with Manor Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Coppice avenue (lay-by), Sale",north,15,TRUE,from a point 67 metres east of its junction with Manor Avenue,to a point 107 metres east of its junction with Manor Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Crescent road, Hale",north-west,2,TRUE,A point 10 metres south west of its northerly junction with Ashley Road,A point 22 metres south west of its northerly junction with Ashley Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Crofts bank road, Urmston",west,3,TRUE,A point 22 metres south of its junction with Hilton Avenue.,A point 43 metres south of its junction with Hilton Avenue.
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Cross street (service road fronting nos 122 to 158), Sale",west,11,TRUE,from a point 12 metres south of its northerly junction with the main carriageway of Cross Street,to a point 12 metres north of its southerly junction with the main carriageway of Cross Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Cyprus street, Stretford",south-east,5,TRUE,from a point 5 metres south-west of its junction with Herbert Street,to a point 31 metres south-west of its junction with Herbert Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Dalton street, Sale",east,9,TRUE,a point 16 metres south of its junction with Dane Road,a point 7 metres northeast of its junction with Wolseley Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Dalton street, Sale",west,3,TRUE,a point 16 metres south of its junction with Dane Road,a point 35 metres south of its junction with Dane Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Dane road, Sale",south,4,TRUE,from a point 5 metres east of its junction with Gleave Street,to a point 5 metres west of its junction with Dalton Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Dane road, Sale",south,7,TRUE,from a point 5 metres east of its junction with Dalton Street,to a point 5 metres west of its junction with Wolseley Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Dane road, Sale",south,5,TRUE,from a point 5 metres east of its junction with Wolseley Road,to a point 9 metres west of its junction with Waverley Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Dane road, Sale",south,3,TRUE,from a point 8 metres east of its junction with Waverley Road,to a point 5 metres west of its junction with Dudley Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Dane road, Sale",south,4,TRUE,from a point 5 metres east of its junction with Dudley Road,to a point 13 metres west of its junction with Brindley Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Daresbury avenue, Altrincham",south & west,14,TRUE,from a point 10 metres from its junction with Clarendon Avenue,to a point 3 metres from its cul-de-sac end
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Dargle road, Sale",north-east,7,TRUE,from a point 25 metres south-east of its junction with Cross Street,to a point 65 metres south-east of its junction with Cross Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Dargle road, Sale",north-east,14,TRUE,from a point 65 metres south-east of its junction with Cross Street,to a point 33 metres north-west of its junction with Waverley Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Dargle road, Sale",south-west,5,TRUE,from a point 30 metres south-east of its junction with Cross Street,to a point 10 metres north-west of its junction with Sefton Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Dargle road, Sale",south-west,14,TRUE,from a point 10 metres south-east of its junction with Sefton Road,to a point 10 metres north-west of its junction with Symons Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Darley street, Sale",north-east,2,TRUE,from a point 5 metres south-east of its junction with Kelsall Street,to a point 5 metres north-west of its junction with Hyde Grove
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Darley street, Sale",north-east,5,TRUE,from a point 5 metres south-east of its junction with Hyde Grove,to a point 5 metres north-west of its junction with Osborne Terrace
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Darley street, Sale",south-west,15,TRUE,from a point 5 metres south-east of its junction with Kelsall Street,to a point 8 metres north-west of its cul-de-sac end
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Davyhulme circle, Urmston",outer side,6,TRUE,"from a point 6 metres south of its junction with Lostock Road, in front of nos 14 to 8",to a point 40 metres south of its junction with Lostock Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Delamer road, Altrincham",west,1,FALSE,a point 58 metres northeast of its junction with St John's Road,its junction with The Downs
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Delaunays road, Sale",north-west,2,TRUE,A point 22 metres north east of its junction with Kings Road,A point 81 metres west of its junction with Barker's Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Delaunays road, Sale",south-east,8,TRUE,A point 20 metres north east of its junction with Harboro Road,A point 81 metres north east of its junction with Harboro Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Denmark road, Sale",north-east,3,TRUE,A point 5 metres northwest of its junction with Cross Street,A point 5 metres northwest of its junction with Cross Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Denmark street, Altrincham",east,3,TRUE,a point 65 metres north of its junction with Lloyd Street,a point 48 metres north of its junction with Lloyd Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Denmark street service road, Altrincham",east,3,TRUE,a point 18 metres from its cul-de-sac end,its cul-de-sac end
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Devisdale road, Altrincham",south,3,TRUE,a point 18 metres west of its junction with St Margaret's Road,its junction with St Margaret's Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Devisdale road traffic island at its junction with dunham road and st margaret's road, Altrincham",north,5,TRUE,a point 3 metres east of its westerly end,a point 25 metres east of its westerly end
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Devonshire road, Altrincham",south,4,TRUE,a point 53 metres west of its junction with Manchester Road,a point 30 metres west of its junction with Manchester Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Devonshire road, Altrincham",north,12,TRUE,a point 7 metres east of its junction with Weldon Road,a point 5 metres west of its junction with Princes Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Dial road, Hale Barns",north-west,5,TRUE,a point 29 metres northeast of its junction with Hale Road,a point 59 metres northeast of its junction with Hale Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Dial road, Hale Barns",south-east,6,TRUE,a point 17 metres northeast of its junction with Hale Road,a point 58 metres northeast of its junction with Hale Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Dorset street, Stretford",north-east,3,TRUE,from a point 5 metres south-east of its junction with Cyprus Street,to a point 22 metres south-east of its junction with Cyprus Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Doveston road, Sale",south-west,1,TRUE,A point 8 metres southeast of its junction with Glebelands Road,A point 24 metres southeast of its junction with Glebelands Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Dudley road, Sale",both,36,TRUE,from a point 36 metres south of its junction with Dane Road,to its cul-de-sac end
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Eaton road, Sale",south-west,2,TRUE,a point 6 metres southeast of its junction with Washway Road,a point 16 metres southeast of its junction with Washway Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Eaton road, Sale",south-west,1,TRUE,a point 23 metres southeast of its junction with Washway Road,a point 28 metres southeast of its junction with Washway Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Eaton road, Sale",north-east,20,TRUE,a point 36 metres southeast of its junction with Washway Road,a point 136 metres southeast of its junction with Washway Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Eaton road, Sale",south-west,8,TRUE,a point 33 metres southeast of its junction of its junction with Washway Road,a point 76 metres southeast of its junction of its junction with Washway Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Eaton road, Sale",south-west,10,TRUE,a point 82 metres southeast of its junction of its junction with Washway Road,a point 133 metres southeast of its junction of its junction with Washway Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Ellesmere road, Altrincham",north,15,TRUE,from a point 10 metres east of its junction with Barrington Road,to a point 13 metres west of its junction with Hawarden Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Elm grove, Sale",south-west,10,TRUE,A point 24 metres northwest of its junction with Cross Street,A point 79 metres northwest of its junction with Cross Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Elm grove, Sale",south-west,3,TRUE,A point 88 metres northwest of its junction with Cross Street,A point 106 metres northwest of its junction with Cross Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Elm grove, Sale",south-west,6,TRUE,A point 111 metres northwest of its junction with Cross Street,A point 139 metres northwest of its junction with Cross Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Elm grove, Sale",north-east,22,TRUE,A point 24 metres northwest of its junction with Cross Street,A point 139 metres northwest of its junction with Cross Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Elm road, Hale",north-east,8,TRUE,from a point 8 metres south-east of its junction with Ashfield Road,to a point 5 metres north-west of its junction with Finchley Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Elm road, Hale",south-west,30,TRUE,from a point 6 metres south-east of its junction with Ashfield Road,to a point 8 metres north-west of its junction with Hawthorn Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Elm road, Hale",north-east,15,TRUE,from a point 5 metres south-east of its junction with Finchley Road,to a point 5 metres north-west of its junction with Hawthorn Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Elton street, Stretford",east,3,TRUE,from a point 5 metres south of its junction with Railway Road,to its junction with the access road north of No 24 Elton Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Finchley road, Hale",west,23,TRUE,from a point 7 metres south of its junction with Stamford Park Road,to a point 8 metres north of its junction with Elm Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Finchley road, Hale",east,23,TRUE,a point 9 metres south of its junction with Stamford Park Road,a point 8 metres north of its junction with Elm Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Flixton road, Urmston",north,6,TRUE,from a point 10 metres east of its junction with Glenhaven Avenue,to a point 10 metres west of its junction with Newton Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Flixton road, Urmston",north,4,TRUE,from a point 31 metres west of its junction with Glenhaven Avenue,to a point 12 metres west of its junction with Glenhaven Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Flixton road, Urmston",north,10,TRUE,a point 3 metres east of its junction with Princess Road,a point 7 metres west of its junction with Mayfair Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Flixton road, Urmston",south,15,TRUE,A point 104 metres west of its junction with Station Road,A point 228 metres west of its junction with Station Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Flixton road, Urmston",north,4,TRUE,a point 50 metres east of its junction with Park Road South,a point 68 metres east of its junction with Park Road South
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Flixton road, Urmston",south,5,TRUE,A point 36 metres west of its junction with Station Road,A point 65 metres west of its junction with Station Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Flixton road, Urmston",south,2,TRUE,A point 241 metres west of its junction with Station Road,A point 252 metres west of its junction with Station Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Flixton road, Urmston",south,3,TRUE,a point 268 metres west of its junction with Station Road,a point 284 metres west of its junction with Station Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Flixton road, Urmston",south,5,TRUE,A point 296 metres west of its junction with Station Road,A point 329 metres west of its junction with Station Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Flixton road, Urmston",south,4,TRUE,A point 348 metres west of its junction with Station Road,A point 372 metres west of its junction with Station Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Flixton road, Urmston",south,4,TRUE,A point 412 metres west of its junction with Station Road,A point 113 metres east of its junction with Legwood Court
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Florence street, Sale",north-east,10,TRUE,A point 20 metres northwest of its junction with Cross Street,A point 75 metres northwest of its junction with Cross Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Framingham road (Service Road In Front Of Nos 2-8 + Side Of No 12 Brooklands Road), Sale",north-west,8,TRUE,from its junction with Brooklands Road service road,to a point 41 metres southwest then southeast of its junction with Brooklands Road service road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Friars road, Sale",south-east,24,TRUE,from a point 17 metres south-west of its junction with Sibson Road,to its cul-de-sac end
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Gaskell road, Altrincham",west,4,FALSE,a point 14 metres north of its junction with Barrington Road,a point 37 metres north of its junction with Barrington Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Gaskell road, Altrincham",west,12,FALSE,a point 69 metres north of its junction with Barrington Road,a point 10 metres south of its junction with Ellesmere Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Gaskell road, Altrincham",east,14,FALSE,a point 32 metres north of its junction with Barrington Road,a point 8 metres south of its junction with Ellesmere Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Gladstone road, Altrincham",north,15,TRUE,from a point 31 metres from its junction with Manchester Road,to a point 6 metres west of its junction with Whiteley Place
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Gladstone road, Altrincham",north,5,TRUE,from a point 5 metres east of its junction with Whiteley Place,to a point 48 metres east of its junction with Whiteley Place
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Gladstone road, Altrincham",north,3,TRUE,from a point 32 metres east of its junction with Hawarden Road,to a point 5 metres west of its junction with Northway
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Gladstone road, Altrincham",north,12,TRUE,from a point 5 metres east of its junction with Northway,to a point 42 metres west of its junction with Navigation Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Gladstone road, Altrincham",south,36,TRUE,from a point 20 metres from its junction with Manchester Road,to a point 15 metres from its junction with Hawarden Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Gladstone road, Altrincham",south,6,TRUE,from a point 15 metres east of its junction with Hawarden Road,to a point 5 metres west of its junction with Southway
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Gladstone road, Altrincham",south,7,TRUE,from a point 5 metres east of its junction with Southway,to a point 12 metres west of its junction with Brentwood Crescent
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Gloucester road, Urmston",north-east,14,TRUE,from a point 20 metres south-east of its junction with Station Road,to a point 5 metres north-west of its junction with Atkinson Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Gloucester road, Urmston",north-east,1,TRUE,from a point 48 metres south-east of its junction with Hampton Road,to a point 57 metres north of its junction with Stretford Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Gloucester road, Urmston",north-east,1,TRUE,from a point 50 metres north of its junction with Stretford Road,to a point 43 metres north of its junction with Stretford Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Goodier street, Sale",south-west,11,TRUE,from a point 5 metres north-west of its junction with Kelsall Street,to a point 5 metres south-east of its junction with Albion Grove
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Gordon avenue, Sale",south-east,9,TRUE,A point 11 metres southwest of its junction with Glebelands Road,A point 60 metres southwest of its junction with Glebelands Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Gordon avenue, Sale",north-west,8,TRUE,A point 7 metres southwest of its junction with Glebelands Road,A point 52 metres southwest of its junction with Glebelands Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Grange road, Sale",north,36,TRUE,A point 29 metres east of its junction with Barker's Lane,A point 215 metres east of its junction with Barker's Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Grange road, Sale",south,34,TRUE,a point 35 metres east of its junction with Barker's Lane,a point 207 metres east of its junction with Barker's Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Great stone road roundabout (the quadrant), Firswood",NA,5,TRUE,from a point 35 metres from its easterly junction with Kings Road,to a point 5 metres from its easterly junction with Kings Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Green lane, Sale",north-east,3,TRUE,from a point 10 metres south-east of its junction with Field Road,to a point 24 metres south-east of its junction with Field Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Green lane, Sale",north-east,6,TRUE,from a point 24 metres south-east of its junction with Field Road,to a point 10 metres north-west of its junction with Chapel Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Green lane, Sale",south-west,5,TRUE,a point 42 metres south-east of its junction with Buck Lane,a point 67 metres south-east of its junction with Buck Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Green lane, Sale",south-west,7,TRUE,from a point 5 metres southeast of its junction with Farmfield,to a point 8 metres northwest of its junction with Greenbank Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Green lane, Sale",north-east,4,TRUE,from a point 10 metres southeast of its junction with Derby Road,to a point 9 metres northwest of its junction with Field Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Green lane, Sale",south-west,8,TRUE,A point 6 metres north-west of its junction with Farmfield,A point 51 meters north-west of its junction with Farmfield
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Green lane, Sale",north-east,3,TRUE,a point 67 metres north of its junction with Derby Road,a point 51 metres north of its junction with Derby Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Green lane, Sale",north-east,1,TRUE,a point 46 metres north of its junction with Derby Road,a point 40 metres north of its junction with Derby Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Green walk, Timperley",north,4,TRUE,a point 8 metres east of its junction with Moss Lane,a point 33 metres east of its junction with Moss Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Green walk, Timperley",south,3,TRUE,a point 13 metres east of its junction with Moss Lane,a point 35 metres east of its junction with Moss Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Groby road, Altrincham",north-west,11,TRUE,from a point 17 metres north-east of its junction with Regent Road,to a point 88 metres north-east of its junction with Regent Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Groby road, Altrincham",north-west,8,TRUE,from a point 105 metres north-east of its junction with Regent Road,to a point 39 metres south-west of its junction with Dunham Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Groby road, Altrincham",south-east,32,TRUE,from a point 196 metres south-west of its junction with Bentinck Road,to a point 20 metres south of its junction with Bentinck Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Grosvenor road, Altrincham",west,9,TRUE,from a point 8 metres south of its junction with Poplar Avenue,to a point 10 metres north of its junction with Derby Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Grosvenor road, Altrincham",west,9,TRUE,from a point 95 metres south of its junction with Navigation Road,to a point 10 metres north of its junction with Ellesmere Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Grosvenor road, Altrincham",west,8,FALSE,a point 5 metres south of its junction with Mill Street,a point 54 metres south of its junction with Mill Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Grosvenor road, Altrincham",west,21,FALSE,a point 146 metres north of its junction with Barrington Road,a point 30 metres north of its junction with Barrington Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Grosvenor square, Sale",north,6,TRUE,a point 75 metres northwest of its junction with Washway Road,a point 129 metres northwest of its junction with Washway Road
